,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Mexico City,Mexico City,GPE,-0.20000000,0.40000000,en,1.00000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
Almere,Almere,GPE,0.00000000,0.00000000,en,1.00000000,4330594-5,2759879,P,52.37025000,5.21413000,EUROPE,The Netherlands,NEU
Flemish Brabant,Flemish Brabant,GPE,0.05000000,0.50000000,en,1.00000000,4074300-7,2792482,P,50.87959000,4.70093000,EUROPE,Belgium,WCE
West Flanders,West Flanders,GPE,-0.25000000,0.25000000,en,1.00000000,4069688-1,2800931,P,51.20892000,3.22424000,EUROPE,Belgium,WCE
Deinze,Deinze,GPE,-0.10000000,0.10000000,en,1.00000000,4363234-8,2799746,P,50.98175000,3.53096000,EUROPE,Belgium,WCE
Leie,Leie,GPE,-0.10000000,0.10000000,en,1.00000000,4232860-3,2749074,P,53.28882000,5.72748000,EUROPE,The Netherlands,NEU
Haaland,Haaland,GPE,0.25000000,0.75000000,en,1.00000000,,5968708,H,58.00013000,-108.36745000,NORTH-AMERICA,Canada,NWN
Alpine,Alpine,LOC,-0.50000000,0.50000000,en,1.00000000,,5770732,P,40.45328000,-111.77799000,NORTH-AMERICA,United States,WNA
Club Brugge,Club Brugge,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Maasgouw,Maasgouw,GPE,0.00000000,0.00000000,en,1.00000000,1046466682,6544244,A,51.15426000,5.87712000,EUROPE,The Netherlands,WCE
Schiedam,Schiedam,GPE,-0.10000000,0.10000000,en,1.00000000,4232665-5,2747596,P,51.91917000,4.38889000,EUROPE,The Netherlands,NEU
Bethlehem,Bethlehem,GPE,0.10000000,0.40000000,en,1.00000000,4088200-7,5180225,P,40.62593000,-75.37046000,NORTH-AMERICA,United States,ENA
West Bank,West Bank,GPE,-0.50000000,0.50000000,en,1.00000000,,282615,P,32.22111000,35.25444000,EUROPE-AFRICA,Palestinian Territory,MED
the West Bank,the West Bank,GPE,-0.50000000,0.50000000,en,1.00000000,,5647484,S,48.60832000,-112.37700000,NORTH-AMERICA,United States,WNA
Wetteren,Wetteren,GPE,0.14000000,0.69666667,en,1.00000000,4830354-9,2783763,P,51.00526000,3.88341000,EUROPE,Belgium,WCE
Temptation Island',Temptation Island',GPE,0.03482143,0.24464286,en,1.00000000,,0,,,,,,
Dubai,Dubai,GPE,-0.08333333,0.45833333,en,1.00000000,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
Eisden-Tuinwijk,Eisden-Tuinwijk,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Bruges,Bruges,GPE,0.10000000,0.50000000,en,1.00000000,4069688-1,2800931,P,51.20892000,3.22424000,EUROPE,Belgium,WCE
Aceh,Aceh,GPE,-0.06000000,0.48000000,en,1.00000000,4195742-8,1215502,P,5.54167000,95.33333000,ASIA,Indonesia,SEA
Bundesliga,Bundesliga,GPE,0.12500000,0.25000000,en,1.00000000,,0,,,,,,
Temse,Temse,GPE,0.05000000,0.20000000,en,1.00000000,7520444-7,2785778,P,51.12794000,4.21372000,EUROPE,Belgium,WCE
Basel,Basel,GPE,0.05000000,0.20000000,en,1.00000000,4004617-5,2661604,P,47.55839000,7.57327000,EUROPE,Switzerland,WCE
The Hague,The Hague,GPE,0.00000000,0.00000000,en,1.00000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Bourla,Bourla,GPE,0.00000000,0.00000000,en,1.00000000,,261211,P,38.77844000,22.78573000,EUROPE-AFRICA,Greece,MED
Lower Belgium,Lower Belgium,GPE,0.25000000,0.50000000,en,1.00000000,,6297320,S,3.47076000,39.10065000,AFRICA,Kenya,NEAF
De Warmste,De Warmste,GPE,0.00000000,0.10000000,en,1.00000000,,0,,,,,,
South Holland,South Holland,GPE,0.10000000,0.30000000,en,1.00000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Vardousia,Vardousia,LOC,-0.06666667,0.00000000,en,1.00000000,,252276,T,38.64171000,22.13944000,EUROPE-AFRICA,Greece,MED
St. Barbara's,St. Barbara's,GPE,0.00000000,0.00000000,en,1.00000000,,5390804,S,34.45916000,-119.69430000,NORTH-AMERICA,United States,WNA
Lapland,Lapland,GPE,-0.11250000,0.23750000,en,1.00000000,,830603,A,67.75000000,26.50000000,EUROPE,Finland,NEU
Northern Europe,Northern Europe,LOC,-0.20000000,0.50000000,en,1.00000000,,0,,,,,,
Gdansk,Gdansk,GPE,0.10000000,0.60000000,en,1.00000000,4011039-4,3099434,P,54.35227000,18.64912000,EUROPE,Poland,WCE
Peru,Peru,GPE,-0.30000000,0.40000000,en,1.00000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Áncash,Áncash,GPE,-0.15000000,0.20000000,en,1.00000000,4079764-8,3699674,A,-9.50000000,-77.75000000,SOUTH-AMERICA,Peru,NWS
Lima,Lima,GPE,-0.15000000,0.20000000,en,1.00000000,4035742-9,3936456,P,-12.04318000,-77.02824000,SOUTH-AMERICA,Peru,NWS
Eisden,Eisden,GPE,0.00000000,0.00000000,en,1.00000000,1252282206,2798887,P,50.98463000,5.71433000,EUROPE,Belgium,WCE
Maastricht,Maastricht,GPE,0.00000000,0.00000000,en,1.00000000,4036784-8,2751283,P,50.84833000,5.68889000,EUROPE,The Netherlands,WCE
Balthasar,Balthasar,GPE,0.10000000,0.50000000,en,1.00000000,7761374-0,12216864,S,49.79170000,9.93555000,EUROPE,Germany,WCE
Turnhout,Turnhout,GPE,-0.00833333,0.70000000,en,1.00000000,4119754-9,2785141,P,51.32254000,4.94471000,EUROPE,Belgium,WCE
Kashiwazaki-Kariwa,Kashiwazaki-Kariwa,LOC,0.25000000,0.33333333,en,1.00000000,,7733345,S,37.42968000,138.59802000,ASIA,Japan,EAS
Pelt,Pelt,GPE,0.00000000,0.00000000,en,1.00000000,,6627352,T,-71.25000000,35.71667000,POLAR,Antarctica,EAN
Benidorm,Benidorm,GPE,0.25000000,0.25000000,en,1.00000000,4005502-4,2521088,P,38.53816000,-0.13098000,EUROPE-AFRICA,Spain,MED
Africa,Africa,LOC,0.25000000,0.25000000,en,1.00000000,,0,,,,,,
Zimbabwe,Zimbabwe,GPE,-0.20000000,0.50000000,en,1.00000000,4049850-5,878675,A,-19.00000000,29.75000000,AFRICA,Zimbabwe,ESAF
Excelsior Vorst,Excelsior Vorst,LOC,0.30000000,0.20000000,en,1.00000000,,0,,,,,,
